sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0119	BTK	EGFR	0.0527		exact
dec_BTK_0119	BTK	BMX	0.2392	66	exact
dec_BTK_0119	BTK	TEC	0.2591	36	exact
dec_BTK_0119	BTK	ERBB2	0.0637		exact
dec_BTK_0119	BTK	ERBB4	0.0480		exact
dec_BTK_0120	BTK	CSK	0.1533		exact
dec_BTK_0120	BTK	ITK	0.2394	24	exact
dec_BTK_0120	BTK	EGFR	0.1507		exact
dec_BTK_0120	BTK	BMX	0.2510	6	exact
dec_BTK_0120	BTK	TEC	0.2455	5	exact
dec_BTK_0120	BTK	ERBB2	0.1718		exact
dec_BTK_0120	BTK	ERBB4	0.1779		exact
dec_BTK_0123	BTK	CSK	0.0872		exact
dec_BTK_0123	BTK	ITK	0.2139	43	exact
dec_BTK_0123	BTK	EGFR	0.0956		exact
dec_BTK_0123	BTK	BMX	0.2504	5	exact
dec_BTK_0123	BTK	TEC	0.2207	41	exact
dec_BTK_0123	BTK	ERBB2	0.1174		exact
dec_BTK_0123	BTK	ERBB4	0.1055		exact
dec_BTK_0124	BTK	CSK	0.1917		exact
dec_BTK_0124	BTK	ITK	0.2683	4	exact
dec_BTK_0124	BTK	EGFR	0.1160		exact
dec_BTK_0124	BTK	BMX	0.2456	10	exact
dec_BTK_0124	BTK	TEC	0.2668	5	exact
dec_BTK_0124	BTK	ERBB2	0.1322		exact
dec_BTK_0124	BTK	ERBB4	0.1301		exact
dec_BTK_0125	BTK	CSK	0.1073		exact
dec_BTK_0125	BTK	ITK	0.2451	4	exact
dec_BTK_0125	BTK	EGFR	0.1088		exact
dec_BTK_0125	BTK	BMX	0.2093	65	exact
dec_BTK_0125	BTK	TEC	0.2197	62	exact
dec_BTK_0125	BTK	ERBB2	0.1401		exact
dec_BTK_0125	BTK	ERBB4	0.1256		exact
dec_BTK_0127	BTK	CSK	0.1028		exact
dec_BTK_0127	BTK	ITK	0.2422	42	exact
dec_BTK_0127	BTK	EGFR	0.1397		exact
