sample_name	target	off_target	off_target_pidx	cosine
dec_BTK_0087	BTK	TEC	21514	0.2330
dec_BTK_0087	BTK	ERBB2	20130	0.1232
dec_BTK_0087	BTK	ERBB4	22387	0.1199
dec_BTK_0088	BTK	CSK	21475	0.1761
dec_BTK_0088	BTK	ITK	22283	0.1983
dec_BTK_0088	BTK	EGFR	19976	0.0797
dec_BTK_0088	BTK	BMX	21763	0.2849
dec_BTK_0088	BTK	TEC	21514	0.2286
dec_BTK_0088	BTK	ERBB2	20130	0.0926
dec_BTK_0088	BTK	ERBB4	22387	0.0643
dec_BTK_0089	BTK	CSK	21475	0.1969
dec_BTK_0089	BTK	ITK	22283	0.2687
dec_BTK_0089	BTK	EGFR	19976	0.1541
dec_BTK_0089	BTK	BMX	21763	0.2814
dec_BTK_0089	BTK	TEC	21514	0.2272
dec_BTK_0089	BTK	ERBB2	20130	0.1528
dec_BTK_0089	BTK	ERBB4	22387	0.1557
dec_BTK_0090	BTK	CSK	21475	0.2122
dec_BTK_0090	BTK	ITK	22283	0.2816
dec_BTK_0090	BTK	EGFR	19976	0.1733
dec_BTK_0090	BTK	BMX	21763	0.2879
dec_BTK_0090	BTK	TEC	21514	0.3022
dec_BTK_0090	BTK	ERBB2	20130	0.2043
dec_BTK_0090	BTK	ERBB4	22387	0.1969
dec_BTK_0091	BTK	CSK	21475	0.1396
dec_BTK_0091	BTK	ITK	22283	0.2648
dec_BTK_0091	BTK	EGFR	19976	0.1123
dec_BTK_0091	BTK	BMX	21763	0.2692
dec_BTK_0091	BTK	TEC	21514	0.2732
dec_BTK_0091	BTK	ERBB2	20130	0.1430
dec_BTK_0091	BTK	ERBB4	22387	0.1246
dec_BTK_0092	BTK	CSK	21475	0.1842
dec_BTK_0092	BTK	ITK	22283	0.2378
dec_BTK_0092	BTK	EGFR	19976	0.0637
dec_BTK_0092	BTK	BMX	21763	0.2517
dec_BTK_0092	BTK	TEC	21514	0.2681
dec_BTK_0092	BTK	ERBB2	20130	0.0677
dec_BTK_0092	BTK	ERBB4	22387	0.0773
dec_BTK_0093	BTK	CSK	21475	0.1467
dec_BTK_0093	BTK	ITK	22283	0.2464
dec_BTK_0093	BTK	EGFR	19976	0.0700
dec_BTK_0093	BTK	BMX	21763	0.2811
dec_BTK_0093	BTK	TEC	21514	0.2720
dec_BTK_0093	BTK	ERBB2	20130	0.0777
dec_BTK_0093	BTK	ERBB4	22387	0.0653
dec_BTK_0094	BTK	CSK	21475	0.2115
dec_BTK_0094	BTK	ITK	22283	0.2798
dec_BTK_0094	BTK	EGFR	19976	0.2016
dec_BTK_0094	BTK	BMX	21763	0.2912
dec_BTK_0094	BTK	TEC	21514	0.2703
dec_BTK_0094	BTK	ERBB2	20130	0.2186
dec_BTK_0094	BTK	ERBB4	22387	0.2167
dec_BTK_0095	BTK	CSK	21475	0.1217
dec_BTK_0095	BTK	ITK	22283	0.2554
dec_BTK_0095	BTK	EGFR	19976	0.1129
dec_BTK_0095	BTK	BMX	21763	0.2689
dec_BTK_0095	BTK	TEC	21514	0.2699
dec_BTK_0095	BTK	ERBB2	20130	0.1316
dec_BTK_0095	BTK	ERBB4	22387	0.1198
dec_BTK_0096	BTK	CSK	21475	0.2043
dec_BTK_0096	BTK	ITK	22283	0.2705
dec_BTK_0096	BTK	EGFR	19976	0.1110
dec_BTK_0096	BTK	BMX	21763	0.2883
dec_BTK_0096	BTK	TEC	21514	0.2862
dec_BTK_0096	BTK	ERBB2	20130	0.1240
dec_BTK_0096	BTK	ERBB4	22387	0.1054
dec_BTK_0097	BTK	CSK	21475	0.2182
dec_BTK_0097	BTK	ITK	22283	0.2706
dec_BTK_0097	BTK	EGFR	19976	0.1944
dec_BTK_0097	BTK	BMX	21763	0.2871
dec_BTK_0097	BTK	TEC	21514	0.2983
dec_BTK_0097	BTK	ERBB2	20130	0.2202
dec_BTK_0097	BTK	ERBB4	22387	0.2189
dec_BTK_0098	BTK	CSK	21475	0.1553
dec_BTK_0098	BTK	ITK	22283	0.2667
dec_BTK_0098	BTK	EGFR	19976	0.0812
dec_BTK_0098	BTK	BMX	21763	0.2638
dec_BTK_0098	BTK	TEC	21514	0.2783
dec_BTK_0098	BTK	ERBB2	20130	0.1121
dec_BTK_0098	BTK	ERBB4	22387	0.0897
dec_BTK_0099	BTK	CSK	21475	0.2259
dec_BTK_0099	BTK	ITK	22283	0.2641
dec_BTK_0099	BTK	EGFR	19976	0.1854
dec_BTK_0099	BTK	BMX	21763	0.2865
dec_BTK_0099	BTK	TEC	21514	0.2863
dec_BTK_0099	BTK	ERBB2	20130	0.2108
dec_BTK_0099	BTK	ERBB4	22387	0.2047
dec_BTK_0100	BTK	CSK	21475	0.1467
dec_BTK_0100	BTK	ITK	22283	0.2635
dec_BTK_0100	BTK	EGFR	19976	0.1762
dec_BTK_0100	BTK	BMX	21763	0.2742
dec_BTK_0100	BTK	TEC	21514	0.2604
dec_BTK_0100	BTK	ERBB2	20130	0.1791
dec_BTK_0100	BTK	ERBB4	22387	0.1848
dec_BTK_0101	BTK	CSK	21475	0.2176
dec_BTK_0101	BTK	ITK	22283	0.2681
dec_BTK_0101	BTK	EGFR	19976	0.2017
dec_BTK_0101	BTK	BMX	21763	0.2823
dec_BTK_0101	BTK	TEC	21514	0.2976
dec_BTK_0101	BTK	ERBB2	20130	0.2282
dec_BTK_0101	BTK	ERBB4	22387	0.2253
dec_BTK_0102	BTK	CSK	21475	0.1850
dec_BTK_0102	BTK	ITK	22283	0.2184
dec_BTK_0102	BTK	EGFR	19976	0.0804
dec_BTK_0102	BTK	BMX	21763	0.2706
dec_BTK_0102	BTK	TEC	21514	0.2508
dec_BTK_0102	BTK	ERBB2	20130	0.0939
dec_BTK_0102	BTK	ERBB4	22387	0.0802
dec_BTK_0103	BTK	CSK	21475	0.1592
