drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
39797	0.2705226	225	CCOC[C@@H]1OCCN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C)c(F)cc3C)n2)C[C@H]1OC	A			
39606	0.27039522	226	Cn1cncc1Cc1cc(=O)n2nc(Nc3c4c(cc5c3CCC5)CCC4)nc2[nH]1	A			
39440	0.27035904	227	COC1CN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C(F)(F)F)ccc3C)n2)C1	A			
39545	0.2701478	228	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)Cc2cccnc2)co1	A			
39551	0.27013445	229	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCC(F)(F)C2)co1	A			
356895	0.26990145	230	Cc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1C	B			
20216	0.26958567	231	COC(=O)c1cccc(C(=O)NC2(C(=O)Nc3c4c(cc5c3CCC5)CCC4)CC2)c1	B			
39544	0.2693623	232	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)CCc2ccccn2)co1	A			
190894	0.26905766	233	Cc1ccc(F)c(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
20168	0.2689423	234	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCN(C)C)C(=O)c1cc3ccccc3o1)C2	B			
39754	0.26801887	235	CC(C)c1nn(Cc2nnc(-c3ccncc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12	A			
60464	0.2675813	236	COc1cccc(C(=O)OCC(=O)Nc2sc3c(c2C(N)=O)CCC3)c1O	B			
39564	0.26732147	237	Cc1ccc(C(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)C)co1	A			
39470	0.26729062	238	C[C@@H]1COCCN1c1nc2nn(-c3ccc(C4CC4)cc3C(F)(F)F)cc2c(=O)[nH]1	A			
476240	0.26718846	239	CN(CCC1CCOCC1)c1nc2c(c(NC(C)(C)C)n1)[S+]([O-])CC2	B			
39712	0.26694033	240	CC(C)c1cc(C#N)c(F)c(C(C)C)c1CC(=O)NS(=O)(=O)c1sc(C(C)(C)O)nc1CCO	A			
20245	0.26689786	241	Cc1cc(/C=C/C(=O)c2ccc(F)cc2)cc(C)c1O	B			
39581	0.26641464	242	Cc1ccccc1-n1cc2c(=O)[nH]c(N3CCC(c4ccccc4)C3)nc2n1	A			
19902	0.26577726	243	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCC#C)C(=O)Cc2ccsc2)cc1	B			
20247	0.26572606	244	Cc1cc(/C=C/C(=O)c2ccc(I)cc2)cc(C)c1O	B			
39591	0.2657213	245	Cc1cnc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1	A			
20195	0.26571077	246	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1csc(-c3cccnc3)n1)C2	B			
39758	0.26462817	247	CC(C)c1nn(Cc2nnc(-c3ncccc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12	A			
20248	0.26449543	248	Cc1cc(/C=C/C(=O)c2ccc(S(C)(=O)=O)cc2)cc(C)c1O	B			
19930	0.26441425	249	C/C1=C\CC[C@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1	A			
39720	0.26402187	250	CC(C)c1cc(C#N)cc(C(C)C)c1NC(=O)N=S(N)(=O)c1ccc(C(C)(C)O)s1	A			
20154	0.2635726	251	CCCCc1oc2ccc(NS(=O)(=O)N(C)C)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1	B			
39723	0.26333135	252	CC(C)c1cc(C#N)cc(C(C)C)c1NC(=O)N=S(N)(=O)c1sc(C(C)(C)O)cc1F	A			
19909	0.26326016	253	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2csc3ccccc23)cc1	B			
39474	0.26323962	254	Cc1c(Nc2nc(C(=O)NS(=O)(=O)N(C)C)co2)cc(C(F)(F)F)cc1C(F)(F)F	A			
39506	0.26304823	255	Cc1cc(C)n(C2CCCN(S(=O)(=O)NC(=O)c3coc(Nc4cc(C(F)(F)F)ccc4C)n3)CC2)n1	A			
20150	0.26292855	256	CCCCNS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1	B			
39477	0.26285666	257	Cc1c2c(c(NC(=O)NS(=O)(=O)/C=C/c3nccs3)c3c1CCC3)CCC2	A			
